"Momentum term = 0.9, hidden_layer_num =7, output_layer_num = 5, ensemble num = 3  >0.62","no Momentum term, hidden_layer_num =7, output_layer_num = 5, ensemble num = 3","Momentum term = 0.01, hidden_layer_num =7, output_layer_num = 5, ensemble num = 3"
,0.590405904,
,668,
,0.602178879,
,572,
,0.589527324,
,1000,
,0.59989457,
,693,
,0.592865929,
,210,
,0.596028817,
,415,
,0.604990336,
,18,
,0.59989457,
,810,
,0.586891583,
,172,
,0.600070286,
,71,
,0.594798805,
,120,
,,0.597610262
,,174
,,0.597434546
,,622
,,0.597083114
,,541
,,0.604990336
,,967
,,0.593393077
,,362
,,0.595501669
,,103
,,0.605868916
,,29
,,0.59638025
,,263
0.5860130029871727
1000
0.5733614479001933
1000
0.5405025478826216
1000
0.5405025478826216
1000
0.5405025478826216
1000
0.5405025478826216
1000
0.5406782639254964
1000
0.5405025478826216
1000
0.5405025478826216
1000
0.5405025478826216
1000
0.5405025478826216
1000
0.5405025478826216
1000
0.5849587067299244
361
0.596907397645405
128
